node_id,cycle_id,SpoofDev,dFF,tau,lambda_t,is_attacker,blockchain_reject,PDR_t,d_bar_t
0,0,0.17045481461045048,0.018635938783335394,1.0,0.13534755231318463,0,0,1.0,50.0
0,1,0.304053933053332,0.04204657203580172,1.0,0.2412741470977476,0,0,1.0,50.0
0,2,0.13524851865043866,0.11225275071549166,1.0,0.13603427650575062,0,0,1.0,50.0
0,3,0.26276437473959796,0.03410256670031782,1.0,0.38954422861782595,0,0,1.0,50.0
0,4,0.11661820283529901,0.0071877652074562835,1.0,0.2356522988534547,0,0,1.0,50.0
0,5,0.2693985010257171,0.04469629311844141,1.0,0.11951562052826174,0,0,1.0,50.0
0,6,0.29866525458750504,0.007337160660971738,1.0,0.1391179557354301,0,0,1.0,50.0
0,7,0.1750967117054426,0.008248229766157857,1.0,0.3153098339557038,0,0,1.0,50.0
0,8,0.10515332630276969,0.06052114043912024,1.0,0.31363736778889606,0,0,1.0,50.0
0,9,0.2172400436621868,0.022685103955339226,1.0,0.29514751414127005,0,0,1.0,50.0
0,10,0.08850834270717273,0.011845816714207768,1.0,0.4046870648669217,0,0,1.0,50.0
0,11,0.2396694709580309,0.042488323548234355,1.0,0.2837896883023769,0,0,1.0,50.0
0,12,0.0730042405636612,0.02548695656073561,1.0,0.2031329751950842,0,0,1.0,50.0
0,13,0.14706219370592746,0.049354124471125416,1.0,0.25114671360376967,0,0,1.0,50.0
0,14,0.04425692682980538,0.0086347186737335,1.0,0.30923730924822224,0,0,1.0,50.0
0,15,0.10007823177380061,0.014334655818925264,1.0,0.1208591438959109,0,0,1.0,50.0
0,16,0.03673627234770097,0.0919360487790479,1.0,0.19733347602274046,0,0,1.0,50.0
0,17,0.15993421249262935,0.016078780484278785,1.0,0.19054363003627903,0,0,1.0,50.0
0,18,0.2539998984946044,0.028911642140105758,1.0,0.3092623450568392,0,0,1.0,50.0
0,19,0.09841081013029829,0.02594273865957647,1.0,0.15622558791126426,0,0,1.0,50.0
0,20,0.16379734729269174,0.027732500267128903,1.0,0.36405784903555655,0,0,1.0,50.0
0,21,0.1262244150137516,0.03209128366948584,1.0,0.38555088650512,0,0,1.0,50.0
0,22,0.26969664053629805,0.013973395931887239,1.0,0.386095752962093,0,0,1.0,50.0
0,23,0.23446704073412938,0.05580194870281749,1.0,0.18543163843020805,0,0,1.0,50.0
0,24,0.2785121234882773,0.017655679151561597,1.0,0.2266269132574586,0,0,1.0,50.0
0,25,0.06261195163648314,0.05546291755928793,1.0,0.22013256416962096,0,0,1.0,50.0
0,26,0.1030843002013152,0.03852152252614329,1.0,0.14526436238021792,0,0,1.0,50.0
0,27,0.15408924744626393,0.003096269817510506,1.0,0.39971950269223,0,0,1.0,50.0
0,28,0.26509701043258593,0.007492871922757129,1.0,0.12684609902597063,0,0,1.0,50.0
0,29,0.2939990409127458,0.05772293921562577,1.0,0.24350980107208592,0,0,1.0,50.0
0,30,0.1367854947101193,0.038108792760715424,1.0,0.07603861999760397,0,0,1.0,50.0
0,31,0.0,0.07783178335141243,1.0,0.09543633531382101,0,0,1.0,50.0
0,32,0.1424307067990073,0.05682367486734243,1.0,0.3417259576441097,0,0,1.0,50.0
0,33,0.19402636766008516,0.06063607102555594,1.0,0.27945759038193224,0,0,1.0,50.0
0,34,0.11069617021215818,0.09244827231147099,1.0,0.13896713818705503,0,0,1.0,50.0
0,35,0.08614993120761275,0.04350425022302467,1.0,0.2990354936332844,0,0,1.0,50.0
0,36,0.16107417719339956,0.05425352157700492,1.0,0.13247470071739323,0,0,1.0,50.0
0,37,0.20750946500112552,0.04794765977894214,1.0,0.17857488664316723,0,0,1.0,50.0
0,38,0.057560869893555626,0.006241465270536373,1.0,0.21085972691906446,0,0,1.0,50.0
0,39,0.2747342599633901,0.009131076879286756,1.0,0.2811820729352535,0,0,1.0,50.0
0,40,0.1496328531057617,0.03758097553683266,1.0,0.15037629878759926,0,0,1.0,50.0
0,41,0.08959709854074487,0.03836273043256396,1.0,0.1587791042024063,0,0,1.0,50.0
0,42,0.1046836938283208,0.02762529036311763,1.0,0.2600378089235958,0,0,1.0,50.0
0,43,0.07319560554980636,0.025915772195054802,1.0,0.23034350615092214,0,0,1.0,50.0
0,44,0.034249819546854375,0.04024438829394408,1.0,0.1167827715335502,0,0,1.0,50.0
0,45,0.09065419441447557,0.03567608953800668,1.0,0.11139040157396443,0,0,1.0,50.0
0,46,0.18690806659948514,0.10148048129702383,1.0,0.2024421490919049,0,0,1.0,50.0
0,47,0.2744476962121471,0.029504620312020145,1.0,0.26805951698968933,0,0,1.0,50.0
0,48,0.26749074198138345,0.027623634981587566,1.0,0.32942603292322353,0,0,1.0,50.0
0,49,0.2752199967533557,0.08796087587936216,1.0,0.18169983472962167,0,0,1.0,50.0
0,50,0.0682512801134544,0.04586497803740534,1.0,0.058209064823489864,0,0,1.0,50.0
0,51,0.058741245702574406,0.07248967828976847,1.0,0.34745981720228114,0,0,1.0,50.0
0,52,0.11375943354156613,0.040518948644124975,1.0,0.17084974191920405,0,0,1.0,50.0
0,53,0.08217869906762976,0.007655214726271954,1.0,0.1153923922835164,0,0,1.0,50.0
0,54,0.27455844104414956,0.006843120855282189,1.0,0.3244661436575057,0,0,1.0,50.0
0,55,0.13196050209751428,0.05404228837872647,1.0,0.3708297428886397,0,0,1.0,50.0
0,56,0.2558449064955386,0.04484136288200101,1.0,0.1447966546944447,0,0,1.0,50.0
0,57,0.11556590990362844,0.034220928508111786,1.0,0.10755452595330812,0,0,1.0,50.0
0,58,0.29555441918246417,0.01666872268763341,1.0,0.1672763090431447,0,0,1.0,50.0
0,59,0.12542922510980017,0.05332218332077135,1.0,0.2873167716616235,0,0,1.0,50.0
0,60,0.07811773648237175,0.037222183726023844,1.0,0.08990769569664131,0,0,1.0,50.0
0,61,0.025622114926608354,0.06875319018181031,1.0,0.20454422502023853,0,0,1.0,50.0
0,62,0.28446349811892246,0.07600481786300854,1.0,0.15444226914187495,0,0,1.0,50.0
0,63,0.016320361408545498,0.04686260785184472,1.0,0.10796222673000978,0,0,1.0,50.0
0,64,0.10100410515450758,0.031915127682407764,1.0,0.2596565473713682,0,0,1.0,50.0
0,65,0.10034629827225539,0.05564009888322437,1.0,0.11433139335931991,0,0,1.0,50.0
0,66,0.20514829871132467,0.06430325282334678,1.0,0.12522831674415386,0,0,1.0,50.0
0,67,0.14829860936110428,0.034989887683215155,1.0,0.33279303668968463,0,0,1.0,50.0
0,68,0.15412074970566378,0.0647051817407379,1.0,0.2169339210742212,0,0,1.0,50.0
0,69,0.15181762867405052,0.042226008550817526,1.0,0.34437730717158593,0,0,1.0,50.0
